ID,ufn,date,year,month,day,location,region,site,forklength,fishweight,corrected.bolus.ww,phylum,class,order,infraorder,family,genus,species,plot.taxon.g,plot.taxon,life.stage,DI,count,size,length.avg,corrected.prey.weight,tperiod,time,ID3,cluster
D10_U1000,U1000,2015-06-05,2015,6,5,DI,East,D10,97,8.5,10.626,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Calanoid,NA,4,7,2-5,NA,4.466,DI_Late,Late,DI_2015,A
D10_U1000,U1000,2015-06-05,2015,6,5,DI,East,D10,97,8.5,10.626,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Calanoid,NA,4,2,1-2,NA,0,DI_Late,Late,DI_2015,A
D10_U1000,U1000,2015-06-05,2015,6,5,DI,East,D10,97,8.5,10.626,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,NA,Decapod,Decapod,NA,4,7,2-5,NA,2.156,DI_Late,Late,DI_2015,A
D10_U1000,U1000,2015-06-05,2015,6,5,DI,East,D10,97,8.5,10.626,NA,NA,NA,NA,NA,NA,NA,Digested,Digested,NA,5,NA,NA,NA,6.006,DI_Late,Late,DI_2015,A
D10_U1000,U1000,2015-06-05,2015,6,5,DI,East,D10,97,8.5,10.626,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,NA,Euphausiid,Euphausiidae,NA,4,1,2-5,NA,0.154,DI_Late,Late,DI_2015,A
D10_U1005,U1005,2015-06-05,2015,6,5,DI,East,D10,105,13.3,24.486,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Calanoid,NA,4,14,2-5,NA,4.928,DI_Late,Late,DI_2015,A
D10_U1005,U1005,2015-06-05,2015,6,5,DI,East,D10,105,13.3,24.486,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,NA,1,1,2-5,3.25,1.078,DI_Late,Late,DI_2015,A
D10_U1005,U1005,2015-06-05,2015,6,5,DI,East,D10,105,13.3,24.486,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,NA,2,7,2-5,3.13,5.852,DI_Late,Late,DI_2015,A
D10_U1005,U1005,2015-06-05,2015,6,5,DI,East,D10,105,13.3,24.486,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,NA,3,3,2-5,3.13,1.386,DI_Late,Late,DI_2015,A
D10_U1005,U1005,2015-06-05,2015,6,5,DI,East,D10,105,13.3,24.486,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,marshallae,Calanoid copepod,Calanus,NA,4,7,2-5,NA,2.618,DI_Late,Late,DI_2015,A
