tperiod,year,FL_median,FL_min,FL_max,FW_median,FW_min,FW_max,GFI_median,GFI_min,GFI_max
DI_Early,2015,102,94,128,10.9,9,22.5,0.128837489063867,0.01681818181818182,1.6353125
DI_Early,2016,114,88,128,12.9,5.6,17,0.550948275862069,0.08605882352941177,0.8279569892473116
DI_Late,2015,107,89,129,14.1,6,22.3,0.8294620689655172,0.03868599033816425,5.456808823529411
DI_Late,2016,93.5,84,110,8.25,6.6,11.3,0.5624666666666667,0.2247297297297297,2.1184615384615384
DI_Peak,2015,100,91,121,10,7.6,17.1,0.2819166666666667,0.008105263157894737,0.8091818181818182
DI_Peak,2016,91.5,79,98,6.35,5.8,8.1,0.509025974025974,0.2710666666666666,1.00578125
JS_Early,2015,109,99,130,16.8,10.5,25.2,0.027499999999999997,0.00484375,0.09676190476190477
JS_Early,2016,92,85,118,7.7,5.9,14.3,0.6573472330043252,0.12243589743589746,2.075774647887324
JS_Late,2015,114,99,128,16.700000000000003,11.6,24.1,0.43759562841530053,0.007788018433179723,4.754909090909091
JS_Late,2016,113.5,103,128,13.85,10.6,16.9,0.28908757021460463,0.06158620689655172,1.385968992248062
JS_Peak,2015,111,94,132,13,8.2,19.8,0.6545609103078983,0.018518987341772153,2.1546250000000002
JS_Peak,2016,102,90,125,10.25,7.2,14.4,0.5532959401709402,0.24177215189873422,1.6853271028037384
